Title,URL,Date,Content
Israel says 'powerful strikes' coming in response to Iran firing missiles,https://www.abc.net.au//news/2025-06-24/benjamin-netanyahu-confirms-israel-iran-ceasefire/105455572,2025-06-24,"Israel's defence minister says the country's military will ""launch powerful strikes"" on Iran, accusing Iran of breaching a ceasefire between the two countries less than four hours after it was first declared — a charge Iran denies. Shortly before the announcement, Israel's government and military warned they had detected missile launches from Iran, heading towards the country's north. In a statement, Israel Katz said: ""I have instructed the IDF [Israel Defense Forces] to respond forcefully to Iran's violation of the ceasefire with powerful strikes against regime targets in the heart of Tehran."" ""Tehran will tremble,"" Israel's Finance Minister Betzalel Smotrich wrote on X after the reported detection. Israel's defensive systems were working to intercept the missiles, the IDF said, warning residents in the country's north to stay in protected spaces until further notice. The Iranian military has denied firing on Israel, according to state media. However, several explosions boomed and sirens sounded across northern Israel after the breach was alleged. The potential ceasefire breakdown comes after US President Donald Trump said the two countries had agreed to pause their fighting. In a statement released earlier this afternoon, Mr Netanyahu's office said a meeting of Israel's security cabinet last night backed Mr Trump's proposal for a truce. Mr Netanyahu's office claimed Israel's ""Operation Rising Lion"" was a ""tremendous success"" and had achieved all of its objectives and more. ""Israel has removed a dual immediate existential threat — both in the nuclear and ballistic missile fields,"" it said. ""In addition, the IDF has achieved full air control over Tehran's skies, inflicted severe damage on the military leadership, and destroyed dozens of central Iranian government targets."" The statement added that in the past 24 hours, the Israel Defense Forces (IDF) had killed hundreds of Basij operatives and another nuclear scientist. ""In light of achieving the objectives of the operation, and in full coordination with President Trump, Israel has agreed to the president's proposal for a bilateral ceasefire,"" the statement said. ""Israel will respond forcefully to any violation of the ceasefire."" Earlier today, just after 8am AEST (6pm Washington time), Mr Trump announced that a ceasefire would begin at about 2pm AEST. ""It has been fully agreed by and between Israel and Iran that there will be a Complete and Total CEASEFIRE … for 12 hours, at which point the War will be considered, ENDED,"" he wrote on social media. He said 24 hours after the ceasefire began, an ""official end"" to the war would be ""saluted by the world"". Mr Netanyahu's statement is the first public response from Israel since Mr Trump's announcement. Iranian state television had earlier reported that the ceasefire went into effect. Iranian officials have not commented since Mr Trump's announcement. Hours before the ceasefire was due to take effect, Iran's Foreign Minister Abbas Araghchi praised the country's armed forces for responding to attacks right up to ""the very last minute"". Minutes earlier, he had posted on social media to say that Iran had made ""no 'agreement' on any ceasefire or cessation of military operations"". At about 3pm AEST, Mr Trump posted: ""THE CEASEFIRE IS NOW IN EFFECT. PLEASE DO NOT VIOLATE IT!"" In the hours leading up to the ceasefire, Iran fired multiple waves of missiles into Israel. One strike killed four people in the country's south, Israel's ambulance service said."
Stranded Aussie travellers desperate for updates as flights cancelled,https://www.abc.net.au//news/2025-06-24/international-airport-passengers-stranded-doha-israel-iran-war/105453134,2025-06-24,"Stranded passengers have faced chaos and uncertainty while waiting for flights, either delayed or cancelled, due to the Middle East conflict. Routes to major cities across the worldhave already been cut off, including in Qatar's capital of Doha along with Dubai. Dubai Airports said operations had resumed after a brief suspension but is warning of further delays and cancellations, while Qatar's civil aviation authority said it had also reopened its airspace. Meanwhile, travellers in the air, in transit and waiting to board long-haul flightshave reached out to the ABC, desperate for clarityas conflicting information spreads online and in terminals. Some passengers reported being diverted mid-air, while others were stuck on the ground in limbo. By Tuesday afternoon, DFAT had not issued any updated advice since the airspace reopened. While the head of the Australian Travel Industry Association (ATIA) expected some flights to the gulf countries to be cancelled today, he said the worst thing travellers could do was cancel their own flights. ""That means you limit the number of things that an airline can … provide in terms of refunds,"" CEO Dean Long said. ""If [passengers] are flying out today or in the next 48 hours, they will be contacted by their travel agent or airline if their flight has been cancelled."" Mr Long said the most important thing was for travellers to stay calm. He said if they hadn't been contacted by their agent or airline within the next 24 hours, they should try to get in touch themselves. ""Be aware that their call centres are experiencing long delay times … we may not necessarily have the answer at this time,"" he said. Mr Long also said people should contact their travel agency about what sort of emergency accommodation is available to them. ""If they are nervous, book an extra night's accommodation where you are to give you that certainly that you will have a place to stay, and most of the time, you will be able to claim that with your travel insurance."" Compare Travel Insurance managing director Natalie Bell said passengers should also pay attention to Smartraveller and speak with their insurer about any concerns they have regarding their destination. ""Stay in contact with your booking agent or travel provider and make sure you know what options are available to you. Insurers will also typically assess claims on a case-by-case basis, taking individual circumstances into account, so get in touch if you have any queries,"" she said. Conflicting reports about cancellations and delays left many passengers at airports unsure of what to believe. An Adelaide nurse stranded at Doha's Hamad International Airport said the experience had been ""surreal"" after an air-strike hit a US military base about 50 kilometres from the terminal. Amanda Tate had just wrapped up a conference in Italy and was preparing to fly home when the incident unfolded. ""We started looking on the internet and seeing there had been some missiles launched. At that time we didn't know what had happened,"" she said. She found a quiet space in the airport and was huddled there with four others. ""We're like family now,"" she said. She described a tense atmosphere, with many travellers afraid to leave the airport. She said there were long queues at airline counters and little information about what was happening, or when flights would resume. ""He looked completely discombobulated. And another young girl was crying."" Polly Robertson was en route to Adelaide when her journey was disrupted by a sudden airspace closure, reportedly linked to restrictions imposed by the Qatari government. Speaking to ABC News Breakfast from Hamad International Airport, she described the confusion and frustration felt by many passengers. ""Everyone is literally sitting where they can find a spot and waiting for any of the announcements,"" she said. ""I flew in from Dublin and my flight was on the ground for 40 minutes. I was going through security when it happened. No announcements. Nothing."" She said travellers had received credit loaded onto their boarding passes but had heard nothing from airline staff. Damian Milverton, an Australian expat who travelled from Paris to Doha for work, was leading a workshop when Iranian rockets zipped overhead. ""It was initially a very large sound and then everyone was like, 'What was that?' We did not immediately think, 'dive under tables, we are under attack'. It was more a case of bewilderment,"" he told ABC News Breakfast."
Breaking down the confusion during the countdown to Trump's ceasefire,https://www.abc.net.au//news/2025-06-24/countdown-to-trump-ceasefire-confusion/105453114,2025-06-24,"US President Donald Trump created a lot of confusion when he announced a ceasefire between Iran and Israel. There was a long lag between Mr Trump's announcement — made via his social media platform Truth Social — and confirmation of the truce from leaders of the warring nations. The hours that followed his announcement were peppered with confusion and contradiction over when attacks might cease. Let's make sense of what happened. It depends on who you ask. Mr Trump said both sides had ""fully agreed"" to a ceasefire when he posted his statement at about 8am AEST. Iran's foreign minister posted an ambiguous statement about the ceasefire on X at 10.30am AEST. Israel's Prime Minister Benjamin Netanyahu confirmed his government had agreed to a ceasefirein a statement after about 4pm AEST. There were conflicting accounts of what had been agreed to, and Mr Trump's vague language didn't help. He didn't use specific time references, instead using phrases such as ""six hours from now"" and ""upon the 12th hour"". Here's the full text of his post: Mr Trump's post also appeared to suggest a different ceasefire start time for Iran to Israel. There was a long lag between his post and confirmation from Iran or Israel. Mr Trump's announcement of the ceasefire came at about 8am AEST. But at about 10.30am AEST, Iran's Foreign Minister Abbas Araghchi's post on X appeared to contradict the US president. ""As of now, there is no 'agreement' on any ceasefire or cessation of military operations,"" Mr Araghchi said. ""The final decision on the cessation of our military operations will be made later. However, he did say Iran would stop its attacks if Israel stopped its air strikes by 4am local time, which was about 10.30am AEST. His next tweet didn't explicitly say Iran had agreed to a ceasefire, but appeared to indicate it had halted attacks. ""The military operations of our powerful Armed Forces to punish Israel for its aggression continued until the very last minute, at 4am,"" he said. Shortly after 2pm AEST, Iranian state television reported that a final barrage of missiles had been sent towards Israel. A few hours after Mr Trump's announcement, the Israeli military (IDF) said five waves of missiles were launched toward Israel from Iran. It said the last impact came shortly after the ceasefire was due to start, with Israel's emergency services reporting people killed on the ground. By this point, we still hadn't heard anything from Israel's government. It wasn't until about 4pm AEST that we got the statement from Mr Netanyahu's office saying Israel had agreed to a ceasefire. Then, about two hours later, Israel's Defence Minister, Israel Katz, announced his country would launch attacks against Iran. ""I have instructed the IDF to respond forcefully to Iran's violation of the ceasefire with powerful strikes against regime targets in the heart of Tehran,"" Mr Katz said in a statement at about 6pm AEST. Mr Araghchi had said his government's decision on the cessation of military operations would be ""made later,"" but, as of 7pm AEST, he hadn't posted any further updates. According to US government officials, Mr Trump communicated directly with Mr Netanyahu to secure a ceasefire. It's unclear what role Ayatollah Ali Khamenei, Iran's leader, played in the talks. Reuters and the Associated Press said US Vice-President JD Vance, Secretary of State Marco Rubio, and special envoy Steve Witkoff communicated with Iranians through direct and indirect channels. The US government maintained that its bombing of Iran on Saturday helped get Israel to agree to the ceasefire. It also said the Qatari government helped to broker the deal. Israel announced new attacks against Iran just two hours after it confirmed the ceasefire. Earlier in the day, Mr Trump told US broadcaster NBC the ceasefire would last ""forever"". ""I think the ceasefire is unlimited,"" he said. ""It's going to go forever."" That's unclear. Mr Trump appeared to suggest that Israel and Iran would first have some time to complete any missions currently underway, at which point the ceasefire would begin in a staged process. Here's what he wrote: ""There will be a Complete and Total CEASEFIRE (in approximately 6 hours from now, when Israel and Iran have wound down and completed their in progress, final missions!), for 12 hours, at which point the War will be considered, ENDED!"" he posted on Truth Social. ""Officially, Iran will start the CEASEFIRE and, upon the 12th Hour, Israel will start the CEASEFIRE and, upon the 24th Hour, an Official END to THE 12 DAY WAR will be saluted by the World. During each CEASEFIRE, the other side will remain PEACEFUL and RESPECTFUL."" Mr Trump did not elaborate on the mechanics of the proposal or explain why his post suggested a delay between when the ceasefire would take effect in Iran and when it would take effect in Israel. Counterinsurgency expert David Kilcullen the lead-up to a ceasefire is when the most intense fighting occurs. ""We've seen repeatedly in the past that ceasefires can fall over at the last minute as each side tries to, you know, burnish its position leading into the end of hostilities,"" Mr Killcullen said. ""So I think there's a lot of things to still drop into place before we can say the ceasefire will happen."""
"As Trump celebrated a ceasefire, Iranian missiles killed Israelis",https://www.abc.net.au//news/2025-06-24/donald-trump-ceasefire-iran-israel-analysis/105452368,2025-06-24,"After America rained bunker-buster bombs on Iran's nuclear sites at the weekend, the big question was: How would Iran respond? The Islamic Republic promised heavy punishment. But with limited capabilities, few allies and incapacitated proxy fighters, there appeared to be few good options to deliver it. Less than 48 hours after the US strikes, we saw an Iranian response — a barrage of missiles fired at America's biggest base in the Middle East. According to Donald Trump, 14 missiles were launched at the Al Udeid base in Qatar, which ordinarily houses about 10,000 troops. Thirteen of the missiles were taken down by Qatari air defences, and one was allowed to fall out of the sky because it wasn't a threat. But the key detail is that Iran shared its attack plan before it acted on it, so the Qatari base could be cleared to prevent casualties. This meant the missile launch was more of a performance than an attack. No injuries, little damage. And the ball back in Trump's court. So then the big question became: How would Trump respond? He'd warned Iran against striking US bases. Tit-for-tat escalation was now a frightening possibility. ""There will be either peace or there will be tragedy for Iran,"" Trump had told Americans in his televised address on Saturday night. ""Remember, there are many targets left."" Would Trump follow through on his threat to strike those targets? Was this a sudden turning point towards a wider war? Trump's answer arrived, true to form, in a social media post. It was a ""thank you"" to Iran. ""I want to thank Iran for giving us early notice, which made it possible for no lives to be lost, and nobody to be injured,"" Trump wrote. ""Perhaps Iran can now proceed to peace and harmony in the region, and I will enthusiastically encourage Israel to do the same."" Trump had never shown an appetite for a bloody battle with Iran. He'd spent weeks pressing its leaders to accept a no-nukes deal to prevent conflict. And after the nuclear facility strikes, he pushed the message it was ""mission accomplished"" — that diplomacy may have failed, but the nuclear threat was ""obliterated"" and the US was achieving, as he liked to say, ""peace through strength"". Trump's initial round of social media posting suggested he was willing to take what's been described as an ""off-ramp"" away from worsening hostilities. The deliberately benign nature of the attack on the base in Qatar appeared designed to de-escalate. It meant the US could leave Iran and Israel to continue trading blows themselves, free of the pressure to strike back that would have been created by American casualties. But then came another social post: Trump said Israel and Iran had agreed to a ceasefire. It would end what he had now named ""the 12 day war"". ""Perhaps Iran can now proceed to peace and harmony in the region, and I will enthusiastically encourage Israel to do the same."" His vice-president, JD Vance, told Fox News the deal must have been finalised while he was on his way to the cable network's Washington studios. Trump ""was working the phones as I was on the way over here,"" Vance told the network, and declared it was ""the beginning of something really big for peace in the Middle East"". On the same channel a little later, Republican senator Katie Britt went even further. ""Donald Trump is going to win the Nobel Peace Prize, no doubt,"" she said. ""He has brought peace to a region that needed stability."" But Israel wouldn't confirm the ceasefire agreement. Iran's foreign minister said there was no agreement, but that Iran would stop responding to Israeli aggression if Israel stopped the aggression. Just a couple of hours later, Israel said more missiles were being fired its way from Iran. Israelis sought shelter, but the national ambulance service later said several people had been killed. Around the same time, Trump was still celebrating on social media, predicting ""love, peace, and prosperity"" for both Israel and Iran. At the time of writing, it's not at all clear how concrete this agreement is. Even if the warring parties cease firing, the region's fate rests on some big unknowns. Trump, a frequent exaggerator, hasn't offered solid evidence to back his claim Iran's nuclear program is obliterated, and other officials have offered less certain assessments. Given all the forewarning before the bombings, there's also a high chance Iran's enriched uranium was moved away from the targeted facilities. The UN's nuclear watchdog says its whereabouts are unknown. Israel obviously won't be satisfied if it sees signs the enrichment program is revived. Then there's the ongoing assault on Gaza, where Israeli forces continue to kill Palestinians daily. In the past month, as the Iran-Israel war stole attention, hundreds of people in Gaza were apparently killed while seeking food from the new US-backed aid program. The official death toll in Gaza is approaching 56,000 — and may have even passed it. After an eventful day in the Middle East, America has been claiming some big wins. But there are also ongoing, devastating losses — and some big questions whose answers could easily change everything once again."
US congressmen on both sides urge Trump to continue AUKUS sub deal,https://www.abc.net.au//news/2025-06-24/us-congressmen-lobby-trump-administration-continue-aukus-deal/105455188,2025-06-24,"US politicians who have championed AUKUS have stepped up lobbying efforts with the Trump administration, saying the defence technology pact is ""critical"" to deterring ""Chinese aggression"" and urging the White House not to dump it. The Trump administration said earlier this month it would conduct a 30-day review of AUKUS, with US Defense Secretary Pete Hegseth telling Congress last week his department would ""make sure it fits the priorities of the president and that our defence and shipbuilding industrial base can support."" The federal government has played down the impact of the review, saying it was confident the White House would continue to endorse the initiative. Five US congressmen who sit on multiple influential house defence committees have now written to the defense secretary to declare their support for AUKUS, saying it was a ""critical mission"" to ""deter Chinese aggression in the Indo-Pacific region."" The senior Pentagon official conducting the review, Elbridge Colby, has previously said the US will only be able to sell at least three Virginia-class nuclear submarines to Australia under AUKUSif it succeeds in rapidly lifting its rateof submarine production. Australia has committed $3 billion to help bolster America's submarine industrial base under AUKUS. The five congressmen — including Republican and House Armed Services Committee chair Mike Rogers as well as Democrats Joe Courtney and Adam Smith — said in their letter that they were ""confident in our ability to meet both US fleet requirements and our AUKUS commitments."" The politicians said additional funding commitments from Congress, on top of Australia's payments, have allowed US shipyards to ramp up steel fabrication and increase construction pace. ""Shipbuilders delivered two attack submarines in 2024 (USS New Jersey and USS Iowa), with two more slated for delivery in 2025 (USS Massachusetts and USS Idaho), and another two in 2026,"" they wrote. They argued that increasing capacity would ""open a pathway to selling the Virginia-class submarines to Australia in 2032, 2035, and 2038"", as planned. The congressmen also talked up progress on skills, saying ""over 120"" Australian sailors and officers were currently completing joint nuclear submarine training, with other Australian sailors already joint-crewing US Virginia-class submarines."" The letter comes as AUKUS supporters in both the Senate and Congress — as well as Australian officials — intensify efforts to reassure senior Trump administration officials that it should stand. Late last week, Democrat Senator Tim Kaine and Republican Senator Pete Rickettsintroduced a bipartisan billaimed at strengthening AUKUS by ""streamlining defence industrial base collaboration"" and exempting Australia and the UK from congressional notification for overseas manufacturing. Defence Minister Richard Marles discussed AUKUS during talks with his UK counterpart John Healy in London ahead of his visit to the NATO meeting in the Hague. He again said the review was a ""perfectly natural step"" for the Trump administration to take and expressed confidence in AUKUS, although he said he would not speculate on its outcome. Mr Marles also acknowledged that developing enough highly trained submariners, engineers, and specialists would be crucial to the success of AUKUS in Australia. ""We are confident that we can get this right, but we're not sanguine about it,"" he said."
Australia's 'fundamentally flawed' mental health plan needs to be thrown out: report,https://www.abc.net.au//news/2025-06-24/mental-health-and-suicide-agreement-flawed-productivity-report/105453974,2025-06-24,"Australia's national plan to improve mental health and prevent suicide is ""not fit for purpose"" and needs to be re-written, according to a new report by the Productivity Commission. The commission has been reviewing the National Mental Health and Suicide Prevention Agreement which sets out the shared commitments between the federal government and state and territory governments to improve the mental health of Australians. The commission has now released an interim report which revealed the national agreement was ""fundamentally flawed"" and made no real improvements to the mental health system since it was signed in 2022. The agreement aims to: It aims to meet these objective by funding services such as: Commissioner Angela Jackson said major change would be impossible under the current agreement as its outcomes, such as ""reforming the mental health system"" were too broad and not easily measurable. Australia is facing a mental health crisis as more people need care for more complex conditions but can't get the help they need due to workforce shortages and a lack of mental health beds in hospitals. Measures of mental health and suicide rates have not improved in recent years, according to the report. More troubling, the suicide rate of Aboriginal and Torres Strait Islander people worsened between 2018 and 2023. Co-commissioner and Gungarri man Selwyn Button said there were a raft of initiatives that weren't connected to each other, thus creating a fragmented system, and early intervention to prevent suicide needed improving. ""There is still stigma attached with respect to having conversations with a clinician about suicide,"" he said. The commission said the agreement made certain commitments but didn't dedicate funding to achieve those aims. For example, it sets out a strategy to close the health gap for Aboriginal and Torres Strait Islander people but there was no specific funding allocated to do this. ""This really needs to be prioritised … and we have the expertise, we just need to get the right people at the table,"" Mr Button said. Dr Clinton Schultz, a Gamilaroi man and director of First Nations strategy at the Black Dog Institute said any national agreement needed to link research to the real world. ""We're generating strong evidence around what works – particularly in novel treatments — but there's still no mechanism to bring that innovation into the public system. Until we bridge these gaps, we'll keep seeing missed opportunities to support our mob in meaningful ways."" Ms Jackson said another key priority was getting funding for psychosocial support for people who don't qualify for the National Disability Insurance Scheme (NDIS). Psychosocial support is non-clinical help including connecting people with the right services and building daily living skills. Funding for that was withdrawn after the NDIS was introduced, which left around 500,000 people without support. ""Obviously the NDIS has led to significant change for people with disability but for those outside the scheme there's been a real reduction in supports and this is a matter of urgency,"" Ms Jackson said. The commission recommended the current agreement, which is due to expire in July 2026, be extended to 2027 to give the government time to create a new agreement that is co-designed with consumers, carers and service providers. ""The new agreement must have measurable outcomes and greater accountability … it's really important everyone understands what's improving and what's not,"" Ms Jackson said. Health Minister Mark Butler said the review highlighted structural issues with the agreement and it was ""essential we get this right"". ""That is why the treasurer, and I commissioned this review in the first place, to get independent advice to inform our next agreement,"" he said. Mr Butler said two weeks ago the state and territory health ministers agreed that psychosocial, workforce and youth mental health would be priorities in the next national agreement. The Productivity Commission is now accepting more public submissions before preparing a final report later this year."
"Most young people think Australia is a racist country, survey finds",https://www.abc.net.au//news/2025-06-24/survey-finds-significant-rise-in-racism-indigenous/105453342,2025-06-24,"Australia's only national survey tracking progress on reconciliation between Indigenous and non-Indigenous Australians has recorded a near 40 per cent rise in racism during the past decade. The biennial Australian Reconciliation Barometer, conducted by Reconciliation Australia, has shown a ""significant"" jump in racism experienced by Aboriginal and Torres Strait Islander people, from 39 per cent in 2014, to 54 per cent in 2024. Experiences of racism included verbal abuse, social media abuse, being refused entry or service, being prevented from renting a property, and physical violence, with younger First Nations people reporting higher levels of racism than other age groups. Racial discrimination was experienced at the hands of police, taxis and rideshare services, government services, hospitality and utility providers, and employers. Reconciliation Australia chief executive Karen Mundine said many factors were driving the ""disheartening"" increase in reports. ""I think probably people are more likely to report those experiences, and people have a greater understanding of what it is,"" she said. ""[That's] not just in an interpersonal way, but understanding the structural systems that also reinforce racist behaviours and outcomes that are discriminatory."" Ms Mundine said the increase in racism ""resonates with what we've heard anecdotally"" about the impact of the 2023 Voice referendum campaign on First Nations people. The survey showed the referendum also affected the way young people view Australia, with 61 per cent of 18-24-year-olds saying they believe it is a racist country, compared to 41 per cent of the general community. Of those young people, two-thirds said their view was influenced by ""the way people engaged with the Voice referendum campaign"". ""[They feel] it is another experience of racism and structural racism, and of the broader mainstream Australia not wanting Aboriginal and Torres Strait Islander people to have a voice and to be involved and to participate."" The director of the UTS Centre of Indigenous People and Work, Nareen Young, said the increase had been fuelled by ""bad behaviour"" on social media and a politically charged climate. ""The rise of right-wing populism, we know that it's been rejected by and large in Australia, but there's still pockets and they're active. I think that there's a lot of responsibility there,"" she said. The data showed young people and multicultural communities were more likely to be in favour of participating in the reconciliation process. Sixty-six per cent of young people and 56 per cent of multicultural Australians reported they want to do something to help reconciliation, compared to 42 per cent of the general population. Karen Mundine put that down to progress on teaching Australian history in schools. ""I think the difference is there's a growing number of young people who are better educated and better aware,"" she said. ""We've had curriculum that teaches Aboriginal and Torres Strait Islander history, and particularly around those ideas of reconciliation relationships."" Truth-telling has strong support across the community, with 67 per cent of Anglo-Australians, 81 per cent of multicultural Australians and 89 per cent of young Australians saying they believe it was important. Karen Mundine said this should indicate to governments that community sentiment would back the implementation of truth-telling policies. ""There is strong support there for the idea of truth-telling, but also for participating in truth-telling,"" Ms Mundine said. ""Knowing where we've come from, knowing our histories, knowing the things that have gotten us to where we are today influences how we can actually make change today, but also create that change for a better future."" She said Reconciliation Australia would continue to lobby the federal government on meaningful Indigenous policy design when the 48th parliament returns next month. She also urged it to adopt the National Anti-Racism Framework, which waslaunched by the Australian Human Rights Commission last year. It made 63 recommendations for change, including an anti-racism taskforce, a national body to oversee the prevention of Aboriginal deaths in custody and an external review into racism in the criminal justice system. ""There is a role for governments to play there, a role for businesses to play, as we think about how we create a more just and cohesive society,"" Ms Mundine said. Nareen Young said there may also need to be further scrutiny of the legislation designed to address racism at work. ""I think we need to really start thinking about anti-racism in the workplace. That's failed to be implemented over the 50 years of the Race Discrimination Act,"" she said. ""The anti-racism framework contains elements that I really support … it's a brilliant framework. ""But I think we do need to examine workplaces and the effectiveness of the current legislative framework separately."" The survey included 532 Aboriginal and Torres Strait Islander people and 1,990 non-Indigenous people, with both samples weighted to be representative of the population."
"Social media ban won't mean all kids' accounts disappear, says commissioner",https://www.abc.net.au//news/2025-06-24/esafety-commissioner-tempers-expectations-social-media-ban/105454838,2025-06-24,"The commissioner tasked with overseeing the implementation of Australia's world-leading laws to get children and teenagers off social media says the ban is unlikely to catch all underage users immediately. While e-Safety Commissioner Julie Inman Grant said she was confident work was on track to meet the December 10 deadline as planned, she also flagged that it was wrong to expect the ban would mean under-16s were immediately scrubbed from platforms when it came into force. ""This legislation does not give us a mandate to cut the Coral Cable or deplatform social media apps on stores,"" she told the National Press Club in Canberra on Tuesday. ""Nor should we create expectations that every child's social media account will magically disappear overnight."" In her address, she characterised the controversial laws as a social media ""delay"" rather than an outright ban, despite its blanket application for all Australians under the age of 16 — even if they already own an account or have parental consent. Communications Minister Anika Wells will determine what platforms will fall under the ban's umbrella, with TikTok, Instagram, Snapchat and Facebook already named. On Tuesday, it was revealed the commissioner provided advice to Ms Wells statingYouTube should also be captured, despite the previous communications ministerinitially carving it out. The provided rationale was new research conducted by the eSafety Commission that found YouTube was the most common platform where young people experienced harm, which included viewing violent, misogynistic and dangerous content. A spokesperson for Ms Wells said she was carefully considering the commissioner's advice. ""Her top priority is making sure the draft rules fulfil the objective of the act — protecting children from the harms of social media,"" they said in a statement. Dr Inman Grant's task is to figure out how the laws will be implemented, including deciding on the ""reasonable steps"" social media companies will be expected to take and enforcing the laws, which include fines of up to $50 million for platforms that do not comply. There are no penalties for young people or parents who circumnavigate the rules. The guidelines given to social media companies, she said, would likely include what age assurance and privacy measures they needed to have in place and the ""level of proactive detection required by services to identify underage users"". It is so far unclear how exactly social media platforms will ascertain users' ages. The commissioner said it would likely involve a combination of age assurance methods — ""a waterfall of effective techniques and tools"" — rather than one mandated technology. A government-commissioned trial of available age assurance technology found last week that options existed toverify the ages of users ""privately, robustly and effectively"", but the preliminary report did not include any details of the specific tests nor how the 53 different technologies involved fared. ""There will be challenges with each one of them, but what the preliminary findings do say is that the technology is here and it's possible,"" the commissioner said. ""None is going to solve every use case, but again, we expect that companies will take layered approaches."" Shadow communications minister Melissa McIntosh called on the government to make it clear what it expected from social media platforms, including which ones were covered by the laws, with just months to go before the deadline. ""There are more questions than answers right now, including what verification technology will be required, which platforms are in or out and what constitutes platforms taking reasonable steps to implement social media age minimum standards by 10 December 2025,"" she said in a statement on Tuesday. The commissioner, who was to begin consultations this week, said there would be more clarity once the minister made her final determination of the rules. ""We may be building the plane a little bit as we're flying it … but I'm very confident we can get there,"" Dr Inman Grant said. While the commissioner conceded that there would be ways for young people to work around the bans, including through the use of VPNs, she said the goal was to change norms around social media use. ""We are not building a great Australian internet firewall, but we are seeking to protect under-16s from those unseen yet powerful forces in the form of harmful and deceptive design features that currently drive their engagement online,"" she said. ""For that reason, it may be more accurate to frame this as a social media delay."" The delay, she argued, would buy time to deliver improved online safety education to young people grappling with the rise of artificial intelligence, deepfakes, bullying and tailored algorithms. It would also, she said, shift the onus to manage young people's online access off parents and onto tech giants. ""This world-leading legislation seeks to shift the burden of reducing harm away from parents and carers and back onto the companies themselves — the companies who own and run these platforms and profit from Australian children,"" she said."
The winners and losers in this year's NSW budget,https://www.abc.net.au//news/2025-06-24/nsw-budget-winners-and-losers-2025-26/105448262,2025-06-24,
Complainant says Gareth Ward 'fixed us drinks' before alleged incident,https://www.abc.net.au//news/2025-06-24/gareth-ward-trial-complainant-drinks-alleged-assault/105456064,2025-06-24,"The second man to give evidence in the trial of NSW MP Gareth Ward has described how the politician ""fixed us drinks"" on the night of the alleged assault. The man, who cannot be named for legal reasons, was 17 when he first met Mr Ward at an event in late 2012. In their opening, the Crown alleged Mr Ward indecently assaulted the man, then 18, at his Meroo Meadow home in 2013, including touching his buttocks and scrotum and mounting his back. The independent MP for Kiama and former Liberal minister has pleaded not guilty to charges involving the younger complainant, as well as additional charges, including sexual intercourse without consent, involving an older complainant. Mr Ward denies all allegations. After hearing evidence from the first complainant, the trial continued into its 16th day with testimony from the second. Giving evidence in the NSW District Court from a remote location, the younger complainant described how he met the MP thinking they had become ""mates"" and their association a ""friendship"". In February 2013, after a party where he had been drinking and there had been tension with his girlfriend, the complainant said he left feeling low and sat drinking alone. He told the court Mr Ward phoned him, expressed concern and offered to pay for a taxi to his house. Arriving at the Meroo Meadow property, the complainant said the atmosphere was noticeably different to previous gatherings. ""I remember being instantly taken aback by how different the vibe was compared to the last time I had been there with a lot of people,"" he said. The man said they sat at Mr Ward's kitchen bench drinking. ""He was fixing us drinks,"" he said, including what might have been coffee vodka, which was a ""fixture in his [Mr Ward's] freezer at the time"". The court heard they later moved outside, where the complainant jokingly pretended to pass out on the grass. The trial continues tomorrow, when the younger complainant is expected to give further evidence."
