Title,Date,neg,neu,pos,compound
Israel says 'powerful strikes' coming in response to Iran firing missiles,2025-06-24,0.109,0.819,0.072,-0.9774
Stranded Aussie travellers desperate for updates as flights cancelled,2025-06-24,0.095,0.866,0.039,-0.9915
Breaking down the confusion during the countdown to Trump's ceasefire,2025-06-24,0.104,0.834,0.062,-0.9912
"As Trump celebrated a ceasefire, Iranian missiles killed Israelis",2025-06-24,0.176,0.671,0.153,-0.9806
US congressmen on both sides urge Trump to continue AUKUS sub deal,2025-06-24,0.021,0.868,0.111,0.9826
Australia's 'fundamentally flawed' mental health plan needs to be thrown out: report,2025-06-24,0.093,0.745,0.162,0.9928
"Most young people think Australia is a racist country, survey finds",2025-06-24,0.09,0.802,0.107,0.7607
"Social media ban won't mean all kids' accounts disappear, says commissioner",2025-06-24,0.06,0.857,0.083,0.9647
The winners and losers in this year's NSW budget,2025-06-24,0.0,0.0,0.0,0.0
Complainant says Gareth Ward 'fixed us drinks' before alleged incident,2025-06-24,0.097,0.855,0.048,-0.9173
"'At least 33' potential buyers for the Whyalla steelworks, SA Premier says",2025-06-24,0.022,0.915,0.063,0.9637
"Man, 19, arrested over crash that killed woman and unborn child",2025-06-24,0.145,0.839,0.016,-0.9883
"Debt remains high, cost-of-living relief targeted at families in Qld budget",2025-06-24,0.047,0.864,0.089,0.9906
"Australian music struggles on the charts, so ARIA is changing the rules",2025-06-24,0.014,0.859,0.127,0.998
Bruce Lehrmann lodges court application to have rape charges halted,2025-06-24,0.028,0.948,0.024,-0.7964
Another reshuffle looming for Australia in West Indies Tests,2025-06-24,0.052,0.812,0.136,0.9944
Five years ago it collapsed. Now Virgin Australia is back on the ASX,2025-06-24,0.066,0.826,0.108,0.9938
We waited two decades for a 28 Days Later sequel. It doesn't disappoint,2025-06-24,0.093,0.808,0.099,0.5779
Manslaughter trial delayed after key witnesses escape fire,2025-06-24,0.099,0.838,0.063,-0.5994
Medical centre trespasser caused 'over $7 million in damages',2025-06-24,0.143,0.814,0.043,-0.9952
"Cairns hospital patient dies from rare, soil-borne disease",2025-06-24,0.081,0.885,0.033,-0.9318
Driver to face trial over intersection crash that killed 16-year-old,2025-06-24,0.109,0.811,0.08,-0.7756
